credit_amt,number_of_credit,new_sam_1,new_sam_0,information_gain
300000,1,29065,22996,0.000662798
144685,1,30255,21806,0.000738773
420000,2,27888,24173,0.000664862
180000,4,27750,24311,0.000827669
54150,1,31500,20561,0.000802775
640000,7,19937,32124,0.00034513
0,0,52060,1,1.42E-07
249300,2,28677,23384,0.00068798
0,0,52060,1,1.42E-07
33629,1,31959,20102,0.000840556
650000,13,11900,40161,7.13E-05
158596,6,23339,28722,0.000482375
851470,1,25763,26298,0.000812213
333500,1,28791,23270,0.000702132
0,0,52060,1,1.42E-07
400000,1,28470,23591,0.000662684
0,0,52060,1,1.42E-07
90000,1,30977,21084,0.000836129
205980,1,29584,22477,0.000727607
0,0,52060,1,1.42E-07
117000,3,28709,23352,0.000767817
1376100,2,14006,38055,0.000441198
0,0,52060,1,1.42E-07
430840,1,28203,23858,0.000678743
0,0,52060,1,1.42E-07
348158,1,28721,23340,0.000693423
955000,11,13013,39048,0.00010495
769000,16,8678,43383,6.39E-05
140134,1,30290,21771,0.000743334
0,0,52060,1,1.42E-07
440000,1,28151,23910,0.00067241
0,0,52060,1,1.42E-07
275000,4,27514,24547,0.000823448
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
294000,1,29098,22963,0.00066682
188000,6,23296,28765,0.000478042
231600,1,29433,22628,0.000708406
229451,4,27635,24426,0.000839671
368312,2,28139,23922,0.000695487
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
250000,1,29330,22731,0.000695472
453652,7,20282,31779,0.000356241
0,0,52060,1,1.42E-07
220000,1,29523,22538,0.000719816
178000,4,27758,24303,0.000828741
0,0,52060,1,1.42E-07
459489,7,20277,31784,0.000355803
272513,7,20490,31571,0.00037471
130000,2,29385,22676,0.000702362
0,0,52060,1,1.42E-07
300629,3,27949,24112,0.000800036
85400,2,29729,22332,0.000746315
599000,4,26520,25541,0.000721976
0,0,52060,1,1.42E-07
120000,2,29455,22606,0.000711185
267000,3,28070,23991,0.000737191
0,0,52060,1,1.42E-07
497600,10,15147,36914,0.000152279
297300,3,27984,24077,0.000726314
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
496350,6,22854,29207,0.000455246
0,0,52060,1,1.42E-07
451000,2,27751,24310,0.000648458
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
33424,1,31962,20099,0.000840982
130500,3,28643,23418,0.000759241
522176,19,6833,45228,6.17E-05
0,0,52060,1,1.42E-07
290000,6,23168,28893,0.000486583
0,0,52060,1,1.42E-07
300000,1,29065,22996,0.000662798
460000,1,28029,24032,0.000657678
463000,5,26081,25980,0.000693528
382039.89,9,16645,35416,0.00022308
524602,12,12933,39128,0.000112504
100000,1,30868,21193,0.000820987
46000,1,31672,20389,0.000800363
455300,7,20279,31782,0.000355978
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
411700,2,27915,24146,0.000668121
277600,3,28039,24022,0.00073326
50000,1,31633,20428,0.00079499
0,0,52060,1,1.42E-07
383563,2,28079,23982,0.000688099
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
791842,86,341,51720,5.31E-06
0,0,52060,1,1.42E-07
608000,5,25667,26394,0.000668805
0,0,52060,1,1.42E-07
1900000,1,7946,44115,0.000185572
0,0,52060,1,1.42E-07
240448,2,28721,23340,0.000693423
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
670000,1,26915,25146,0.000719837
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
550500,8,18152,33909,0.000287595
518000,10,15126,36935,0.000150992
0,0,52060,1,1.42E-07
235100,4,27610,24451,0.000836305
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
412746,6,22991,29070,0.000468794
330200,2,28284,23777,0.000713518
1169048,2,18640,33421,0.000626849
1203500,1,17739,34322,0.00055231
0,0,52060,1,1.42E-07
858000,9,15866,36195,0.00018428
700000,2,26567,25494,0.000753871
630000,2,26903,25158,0.000693081
678800,1,26866,25195,0.000765621
75000,1,31134,20927,0.000858222
2757000,2,3241,48820,3.18E-05
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
109025,3,28742,23319,0.000772124
0,0,52060,1,1.42E-07
689000,16,8722,43339,6.60E-05
350000,1,28717,23344,0.000692928
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
250000,1,29330,22731,0.000695472
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
222055,10,15301,36760,0.000161862
309000,4,27433,24628,0.000812682
0,0,52060,1,1.42E-07
175550,2,29039,23022,0.000683785
95360,3,28822,23239,0.000782621
330900,14,11004,41057,8.04E-05
368989,3,27718,24343,0.000769855
495653,8,18241,33820,0.00029478
0,0,52060,1,1.42E-07
1179622,4,18212,33849,0.000578308
920000,10,14274,37787,0.00012642
380000,2,28098,23963,0.000690434
900000,3,25084,26977,0.000779435
330000,2,28288,23773,0.000714019
480171,2,27624,24437,0.000633447
700000,2,26567,25494,0.000753871
468200,1,27994,24067,0.000653483
1010000,5,22657,29404,0.000694554
400000,1,28470,23591,0.000662684
200000,1,29742,22319,0.000722787
532761,14,10951,41110,7.78E-05
0,0,52060,1,1.42E-07
4925,2,30366,21695,0.000655105
200000,1,29742,22319,0.000722787
314100,20,6378,45683,8.94E-05
0,0,52060,1,1.42E-07
747080,14,10835,41226,7.22E-05
0,0,52060,1,1.42E-07
298000,3,27983,24078,0.000726188
1110000,2,20212,31849,0.00072974
80000,1,31088,20973,0.000851714
1187027,8,12520,39541,0.000238379
160000,2,29144,22917,0.000696822
0,0,52060,1,1.42E-07
465000,2,27687,24374,0.00064087
58000,1,31431,20630,0.000793294
450000,1,28117,23944,0.000668287
0,0,52060,1,1.42E-07
1472410,2,12190,39871,0.000385462
0,0,52060,1,1.42E-07
400000,1,28470,23591,0.000662684
54150,1,31500,20561,0.000802775
261950,3,28084,23977,0.000738969
560000,2,27229,24832,0.000733483
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
154895,5,26676,25385,0.000741487
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
470000,2,27673,24388,0.000639216
200000,1,29742,22319,0.000722787
0,0,52060,1,1.42E-07
699000,7,19782,32279,0.000331831
0,0,52060,1,1.42E-07
159000,1,30072,21989,0.000740209
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
241997,1,29385,22676,0.000702362
150000,3,28543,23518,0.000746349
625035,2,26914,25147,0.000694425
0,0,52060,1,1.42E-07
302000,2,28416,23645,0.00073015
209740,2,28855,23206,0.000710146
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
45100,5,26832,25229,0.000635694
0,0,52060,1,1.42E-07
329246,7,20426,31635,0.000368981
15000,1,32532,19529,0.000789535
537000,12,12929,39132,0.000112283
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
517532,2,27432,24629,0.00073335
0,0,52060,1,1.42E-07
450000,1,28117,23944,0.000668287
0,0,52060,1,1.42E-07
309756,8,18402,33659,0.00030798
0,0,52060,1,1.42E-07
1299500,23,3346,48715,3.74E-05
270969,1,29190,22871,0.000678102
474248,2,27660,24401,0.000637683
118000,3,28703,23358,0.000767035
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
494353,7,20229,31832,0.000351604
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
300000,1,29065,22996,0.000662798
260000,3,28093,23968,0.000740114
0,0,52060,1,1.42E-07
522125,8,18200,33861,0.00029146
